电影名称,评分,评价数量
肖申克的救赎,9.7,1580742人
霸王别姬,9.6,1167490人
阿甘正传,9.5,1229459人
这个杀手不太冷,9.4,1421144人
美丽人生,9.5,719729人
泰坦尼克号,9.4,1170778人
千与千寻,9.3,1262081人
辛德勒的名单,9.5,637321人
盗梦空间,9.3,1213829人
忠犬八公的故事,9.3,814611人
机器人总动员,9.3,804884人
三傻大闹宝莱坞,9.2,1099137人
放牛班的春天,9.3,765440人
海上钢琴师,9.2,888708人
楚门的世界,9.2,852867人
星际穿越,9.3,874367人
大话西游之大圣娶亲,9.2,855218人
龙猫,9.2,753386人
熔炉,9.3,506920人
教父,9.3,547101人
无间道,9.2,702307人
疯狂动物城,9.2,988769人
当幸福来敲门,9.1,889767人
怦然心动,9.0,996023人
触不可及,9.2,579975人
蝙蝠侠：黑暗骑士,9.1,574951人
乱世佳人,9.3,400888人
活着,9.2,453509人
控方证人,9.6,206217人
少年派的奇幻漂流,9.0,868580人
摔跤吧！爸爸,9.0,871153人
指环王3：王者无敌,9.2,439549人
天空之城,9.1,515190人
鬼子来了,9.2,368177人
十二怒汉,9.4,261937人
飞屋环游记,9.0,789608人
天堂电影院,9.2,421612人
大话西游之月光宝盒,9.0,690745人
哈尔的移动城堡,9.0,580288人
寻梦环游记,9.0,831520人
末代皇帝,9.2,365816人
罗马假日,9.0,586725人
搏击俱乐部,9.0,550399人
闻香识女人,9.0,502293人
辩护人,9.2,349371人
素媛,9.2,332386人
窃听风暴,9.1,345566人
死亡诗社,9.0,420872人
两杆大烟枪,9.1,374267人
飞越疯人院,9.1,378544人
指环王2：双塔奇兵,9.0,410761人
教父2,9.2,297084人
狮子王,9.0,450498人
指环王1：魔戒再现,9.0,461166人
V字仇杀队,8.9,645619人
何以为家,9.1,378345人
美丽心灵,9.0,450527人
饮食男女,9.1,318813人
海豚湾,9.3,249535人
大闹天宫,9.3,196096人
情书,8.9,552759人
钢琴家,9.1,298294人
哈利·波特与魔法石,8.9,480700人
本杰明·巴顿奇事,8.9,587660人
看不见的客人,8.8,650420人
黑客帝国,8.9,444065人
西西里的美丽传说,8.8,563765人
小鞋子,9.2,223280人
让子弹飞,8.8,954971人
美国往事,9.2,252096人
拯救大兵瑞恩,9.0,376843人
猫鼠游戏,8.9,416288人
音乐之声,9.0,347814人
致命魔术,8.8,505997人
七宗罪,8.8,602004人
被嫌弃的松子的一生,8.9,453470人
低俗小说,8.8,503231人
沉默的羔羊,8.8,505335人
蝴蝶效应,8.8,557823人
穿条纹睡衣的男孩,9.0,264802人
春光乍泄,8.9,374618人
勇敢的心,8.9,392582人
天使爱美丽,8.7,666384人
剪刀手爱德华,8.7,685836人
心灵捕手,8.8,409778人
禁闭岛,8.8,547382人
布达佩斯大饭店,8.8,510536人
阿凡达,8.7,801221人
入殓师,8.8,405690人
幽灵公主,8.9,340835人
加勒比海盗,8.7,528559人
摩登时代,9.3,152779人
致命ID,8.7,462156人
断背山,8.8,455223人
我不是药神,9.0,1208286人
阳光灿烂的日子,8.8,384918人
重庆森林,8.7,478913人
第六感,8.8,331034人
狩猎,9.1,200185人
喜剧之王,8.7,525481人
玛丽和马克思,8.9,293187人
消失的爱人,8.7,533941人
告白,8.7,473556人
小森林 夏秋篇,9.0,231578人
大鱼,8.8,353458人
请以你的名字呼唤我,8.8,336720人
一一,9.0,212885人
爱在黎明破晓前,8.8,333023人
阳光姐妹淘,8.8,384316人
射雕英雄传之东成西就,8.7,390574人
侧耳倾听,8.9,261923人
甜蜜蜜,8.8,311430人
海蒂和爷爷,9.1,151495人
红辣椒,9.0,216057人
杀人回忆,8.8,327971人
驯龙高手,8.7,446640人
倩女幽魂,8.7,407862人
7号房的礼物,8.8,284087人
超脱,8.8,261666人
恐怖直播,8.8,356475人
哈利·波特与死亡圣器(下),8.7,416231人
小森林 冬春篇,9.0,200882人
菊次郎的夏天,8.8,290963人
爱在日落黄昏时,8.8,290512人
风之谷,8.8,248784人
蝙蝠侠：黑暗骑士崛起,8.7,422822人
幸福终点站,8.7,315210人
萤火之森,8.8,268773人
唐伯虎点秋香,8.6,559560人
借东西的小人阿莉埃蒂,8.8,314008人
超能陆战队,8.6,577521人
上帝之城,8.9,202739人
神偷奶爸,8.6,583916人
无人知晓,9.1,137784人
怪兽电力公司,8.7,370645人
玩具总动员3,8.8,284637人
电锯惊魂,8.7,293656人
岁月神偷,8.7,399035人
血战钢锯岭,8.7,481414人
谍影重重3,8.8,258983人
疯狂原始人,8.7,527496人
英雄本色,8.7,283365人
喜宴,8.9,198346人
七武士,9.2,110484人
傲慢与偏见,8.6,437697人
萤火虫之墓,8.7,276237人
东邪西毒,8.6,368572人
时空恋旅人,8.7,308964人
真爱至上,8.6,435582人
贫民窟的百万富翁,8.6,503169人
黑天鹅,8.5,556197人
记忆碎片,8.6,378232人
心迷宫,8.7,279474人
纵横四海,8.8,231417人
教父3,8.8,195590人
完美的世界,9.1,126329人
荒蛮故事,8.8,228446人
达拉斯买家俱乐部,8.7,269008人
三块广告牌,8.7,503061人
被解救的姜戈,8.7,364079人
雨人,8.7,270686人
花样年华,8.6,342161人
我是山姆,8.9,161322人
你的名字。,8.4,775646人
卢旺达饭店,8.9,163819人
哪吒闹海,9.0,133815人
头脑特工队,8.7,346054人
海边的曼彻斯特,8.6,299644人
你看起来好像很好吃,8.8,205390人
恋恋笔记本,8.5,391455人
无敌破坏王,8.7,312487人
二十二,8.7,173004人
冰川时代,8.5,385449人
虎口脱险,8.9,142979人
未麻的部屋,8.9,150983人
模仿游戏,8.6,361046人
爆裂鼓手,8.7,329084人
海洋,9.1,117389人
雨中曲,9.0,126778人
一个叫欧维的男人决定去死,8.8,200100人
忠犬八公物语,9.1,99280人
天书奇谭,9.2,95420人
燃情岁月,8.8,187233人
人工智能,8.6,262575人
魔女宅急便,8.6,285418人
房间,8.8,233423人
穿越时空的少女,8.6,254017人
黑客帝国3：矩阵革命,8.7,230878人
头号玩家,8.7,841152人
海街日记,8.7,219208人
恐怖游轮,8.4,466651人
魂断蓝桥,8.8,166935人
猜火车,8.5,309095人
惊魂记,8.9,129261人
完美陌生人,8.5,338902人
功夫,8.4,480731人
罗生门,8.8,178125人
阿飞正传,8.5,300567人
香水,8.5,366983人
可可西里,8.7,173419人
牯岭街少年杀人事件,8.8,152015人
谍影重重2,8.6,221992人
朗读者,8.5,336155人
谍影重重,8.6,264566人
浪潮,8.7,175408人
疯狂的石头,8.4,460246人
战争之王,8.6,227997人
初恋这件小事,8.3,643982人
地球上的星星,8.9,122979人
青蛇,8.5,308482人
奇迹男孩,8.6,330659人
终结者2：审判日,8.6,202077人
爱在午夜降临前,8.8,170433人
新龙门客栈,8.6,262622人
源代码,8.4,525793人
步履不停,8.8,142830人
釜山行,8.4,579736人
小萝莉的猴神大叔,8.5,278338人
无耻混蛋,8.5,298724人
再次出发之纽约遇见你,8.5,249547人
一次别离,8.7,170298人
追随,8.9,109878人
新世界,8.7,155720人
绿里奇迹,8.7,149726人
血钻,8.6,200291人
2001太空漫游,8.7,152604人
彗星来的那一夜,8.5,282116人
城市之光,9.3,66342人
东京物语,9.2,74101人
撞车,8.6,221364人
疯狂的麦克斯4：狂暴之路,8.6,302315人
梦之安魂曲,8.7,146329人
聚焦,8.8,175005人
E.T. 外星人,8.6,214329人
黑鹰坠落,8.6,172439人
遗愿清单,8.6,195693人
这个男人来自地球,8.5,247725人
末路狂花,8.7,139798人
发条橙,8.5,240674人
哈利·波特与阿兹卡班的囚徒,8.5,268567人
哈利·波特与密室,8.4,287873人
变脸,8.4,275675人
我爱你,9.0,86192人
国王的演讲,8.4,440698人
勇闯夺命岛,8.6,184347人
千钧一发,8.7,133991人
驴得水,8.3,513656人
黄金三镖客,9.1,72186人
非常嫌疑犯,8.6,165724人
秒速5厘米,8.3,419236人
